Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
"PEMANFAATAN
 MICROSOFT SPEECH APPLICATION PROGRAMMING INTERFACE  PADA APLIKASI 
PENERJEMAH BAHASA INGGRIS KE DALAM BENTUK STRUCTURED QUERY LANGUAGE 
DENGAN PENGGUNAAN NATURAL LANGUAGE PROCESSING",Penulis : Anisa Kahfiyatul Nur Aziza,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST.,M.Kom.","Dosen Pembimbing II :Ari Kusumaningsih, ST., MT.","Perintah dengan menggunakan suara memungkinkan pengguna
dapat mengakses isi database dengan mengucapkan perintah melalui
peralatan masukan audio tanpa harus menggunakan cara konvensional.
Penggunaan program database dalam pengoperasiannya, diperlukan
pemahaman pada struktur SQL (Structured Query Language).
Kemudahan bisa dirasakan bagi pengguna awam karena sistem
pengaksesan database disertai dengan pengembangan NLP (Natural
Language Processing).
Perintah dengan suara menggunakan piranti masukan audio
seperti mikrofon dan mesin pengenal ucapan. Ketika pengguna
mengucapkan perintah melalui mikrofon, mesin pengenal ucapan akan
menerjemahkan dari ucapan ke teks. Dari teks akan diterjemahkan
kedalam bentuk perintah SQL untuk pengaksesan database. Penelitian
ini memanfaatkan Teknologi Pengenalan Suara Automatis pada
Microsoft Speech Aplication Programming Interface. Perintah suara
yang diucapkan menggunakan sintaksis bahasa alami, yaitu bahasa
Inggris. Dengan proses NLP menggunakan metode Top Down Parse.
Masalah yang dihadapi dalam menggunakan pengenalan
ucapan adalah noise juga perlu untuk berbicara sejelas mungkin. Dalam
pengaplikasiannya dilakukan suatu uji coba pengenalan ucapan
sebanyak 12 kali pengucapan perintah dan diperoleh hasil keakuratan
sebesar 33% sedangkan inputan kalimat bahasa alami yang berhasil
diterjemahkan dalam bentuk SQL sebanyak 67%."
Sistem Deteksi Wajah Menggunakan Haar-Like Feature Pada Nokia Lumia Windows Phone,Penulis : Asadullohil Ghalib Kubat,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S., S.Kom., M.Kom.","Teknologi pendeteksian obyek menggunakan kamera telah semakin banyak digunakan antara lain untuk sistem pendeteksian organ biometric  seperti wajah, mata, hidung, tangan dan lain-lain. Selain pada organ  biometric, pendeteksian  obyek juga banyak dilakukan pada obyek-obyek yang lain seperti obyek mobil dan sepeda motor. Deteksi obyek banyak dimanfaatkan pada bidang security dan authorization.

Dalam Tugas Akhir ini hanya akan difokuskan pada masalah pendeteksian obyek wajah,  deteksi wajah  (face detection)  adalah salah satu pra proses  yang sangat penting didalam sistem pengenalan wajah(face recoginiton)    untuk mengetahui letak posisi wajah dalam sebuah citra yang nantinya  akan  dilakukan  untuk proses  pengenalan (recognition), sistem  pendeteksian wajah ini diimplementasi pada handphone nokia lumia 920 dengan sistem operasi windows phone. 

Metode yang digunakan dalam penelitian ini adalah Haar Cascade Classifier  dengan mengacu pada  Haar Rectangular Feature  (fitur kotak haar) yang merupakan fitur hasil ekstraksi dari penelition  viola jones, dalam penelitian ini terdapat 12876 citra yang digunakan untuk training yang terdiri dari 4916 citra wajah dan  7960 citra non wajah, kemudian terdapat 45 citra yang digunakan untuk testing yang terdir i dari 15 citra yang mengandung  single face, 15 citra yang terdapat  multiple face  dan 15 citra yang tidak terdapat wajah sama sekali."
SISTEM PENGENALAN WAJAH BERBASIS WINDOWS PHONE MENGGUNAKAN METODE PRINCIPAL COMPONENT ANALYSIS DAN EUCLIDEAN DISTANCE,Penulis : Miftah Alfian Syah,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S., S.Kom., M.Kom.","Perkembangan mobile phone akhir-akhir ini semakin meningkat. Handphone saat ini tidak hanya menjadi alat komunikasi saja, namun telah menjadi sebuah perangkat cerdas yang mampu menangani berbagai kebutuhan manusia secara cepat dan tepat. Salah satunya adalah untuk pengenalan wajah. 
Face Recognition adalah teknik untuk mengenali seseorang berdasarkan citra dari wajah seseorang. Dalam perkembangan teknologi saat ini, face recognition merupakan salah satu  penelitian yang sangat popular pada saat ini  terutama dalam bidang computer vision dan biometrik. Hasil dari penelitian ini sudah banyak dimanfaatkan dalam bidang keamanan maupun dalam bidang pemerintahan seperti pelacakan kriminal maupun teroris. Tugas Akhir ini bertujuan untuk mengimplementasikan metode PCA yang diintegrasikan klasifikasi berbasis Similarity Measure dengan metode Euclidean Distance. Sistem dibangun pada device Windows Phone.
Penelitian ini menggunakan 30 data citra yang akan digunakan sebagai data training dan testing untuk proses uji coba pada sistem yang telah dibuat. Dengan menggunakan metode ekstraksi fitur PCA dan penghitungan jarak dengan Euclidean Distance, dari tiga skenario pengujian yang telah dilakukan pada penelitian ini, menghasilkan tingkat akurasi sebesar 62.75% dengan kecepatan komputasi rata-rata 1.5 detik."
Pengenalan Pola Mata dan Hidung untuk Penentuan Jender Menggunakan Gray Level Run Lenght Matrix,Penulis : Bagus Imansyah,"Dosen Pembimbing I : Cucun Very Angkoso, S.T., M.T","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T","Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. Telah dilakukan penelitian di Jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. Salah satu bentuk penerapan penentuan jenis kelamin (Jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh komputer dan disimpan dalam database. Pada penelitian Tugas Akhir terdapat dua tahapan, yaitu tahapan pertama menghitung ekstraksi fitur mata dan hidung menggunakan Gray Level Run Length Matrix untuk menghasilkan pola mata dan hidung. Tahap kedua menghitung jarak kemiripan menggunakan Euclidean Distance, yaitu semakin rendah nilai jarak suatu citra maka akan semakin tinggi tingkat kemiripannya. Penelitian Tugas Akhir ini dilakukan uji coba pada 200 gambar mata dan hidung didalam database yang akan dibagi menjadi dua kelas yaitu laki - laki dan perempuan untuk dilakukan ekstraksi fitur menggunakan Gray Level Run Length Matrix dan hasil ekstraksi fitur akan dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap kedua kelas, nilai tersebut akan dirata â rata untuk mendapatkan hasil yang diinginkan. Dari hasil uji coba perbandingan rata â rata nilai hasil pengukuran Euclidean Distance diperoleh akurasi sebesar 75% pada 20 data uji coba dan 180 dengan jumlah citra yang ditampilkan adalah 5."
Berhitung Mudah dengan Jarimatika Berbasis Multimedia,Penulis : Handayani Firdauzi,"Dosen Pembimbing I : Ari kusumaningsih, S.T., M.T.","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T.","Keterampilan berhitung adalah salah satu ketrampilan dasar yang perlu dikuasai oleh anak. Begitu pentingnya ketrampilan berhitung ini, sehingga orang tua secara sadar maupun tidak seringkali âmemaksaâ anak untuk segera menguasai berhitung dengan baik. Begitu bersemangatnya orang tua dalam mendorong anak agar pandai berhitung, acap kali kemudian menjadi kurang proporsional. Orang tua mulai panik kalau anaknya dinilainya terlambat menguasai ketrampilan berhitung. Apalagi bila orang tua melihat anak-anak yang sebaya sudah banyak yang menguasai ketrampilan berhitung dengan baik. Kepanikan bisa berkembang menjadi kejengkelan, kemarahan, dan sebagainya.
Jarimatika merupakan salah satu cara melakukan operasi hitung. Jika kita melakukan latihan berhitung secara berulang-ulang bersamadengan anak-anak, tidak perlu kuatir anak pasti menguasai ketrampilan ini dengan baik. Karena jarimatika memiliki beberapa kelebihan yaitu, Jarimatika memberikan visualisasi proses berhitung yang membuat anak mudah melakukannya, gerakan jari-jari tangan akan menarik minat anak,  jarimatika relatif tidak memberatkan memori otak saat digunakan, alatnya tidak perlu dibeli, tidak akan pernah ketinggalan, atau terlupa dimana menyimpannya
Sebagai hasil uji coba aplikasi ini, penulis melakukan kuisioner, dan hasilnya adalah dari 35 siswa di lingkungan SDN Mlajah 2 Bangkalan,  kemampuan berhitungnya bertambah baik, di bandingkan dengan sebelum menggunakan aplikasi jarimatika."
Rancang Bangun Aplikasi SCM disertai peramalan Bahan Produksi menggunakan Metode Radial Basis Function Network,Penulis : Nurhadi Kusdianto,"Dosen Pembimbing I : Fika Hastarita R, S.T., M.Eng.","Dosen Pembimbing II :Firli Irhamni, S.T, M.Kom.","Kebutuhan bahan garam oleh PT. Elitestar Primajaya adalah hal yang utama, karena selama ini Perusahaan hanya mengandalkan inventori atau stok gudang untuk memenuhi kebutuhan produksinya. Maka dibuatlah aplikasi berupa SMS Gateway untuk memberi informasi kebutuhan produksi garam ke petani, untuk itu dengan adanya SMS Gateway ke Petani garam atau Pemasok diharapkan mampu meningkatkan kebutuhan garam yang masuk. Untuk Penjualannya, Perusahaan tetap menggunakan SMS Gateway untuk memberikan info mengenai ketersediaannya garam jadi ke Pelanggan. SMS ke Pemasok disertai dengan Peramalan. Metode peramalan yang digunakan adalah metode Radial Basis Function (RBF) dengan penentuan hidden node menggunakan K-Means Cluster. Metode ini merupakan salah satu metode pembelajaran baru dari jaringan syaraf tiruan yang memiliki tingkat akurasi yang baik dibandingkan dengan metode konvensional lainnya. Hal ini yang akan mempengaruhi performa dari desain yang dibuat dan dengan pemanfaatan metode ini, didapat keakuratan berdasarkan nilai MAPE (Mean Absolute Percentage Error) dan MSE (Mean Square Error). Sedangkan metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, mudah dan penentuannya awalnya secara random. Dari hasil pengujian sistem menghasilkan 4 cluster dengan nilai MAPE 13.042%  dan MSE 0.004 dan hasil peramalan periode berikutnya sebesar 3853.039 ton."
Rancang Bangun Sistem Pemilihan Supplier Menggunakan Metode Fuzzy - Data Envelopment Analysis (F-DEA),Penulis : Gilar Singgih Sutandi,"Dosen Pembimbing I : Fika Hastarita Rachman, S.T., M.Eng.","Dosen Pembimbing II :Dr. Rahmat Hidayat, M.T.","Memberikan pelayanan terbaik merupakan hasil akhir yang dapat mengukur tingkat keberhasilan suatu perusahaan. Distribusi memiliki peran penting mendukung keberhasilan perusahaan untuk menghasilkan performansi terbaik.  Pemilihan  supplier   dengan  mengukur performansi supplier adalah hal penting yang harus dilakukan oleh perusahaan untuk mengoptimalkan biaya dan waktu produksi. Penelitian ini dilakukan pada PT. PAL Indonesia dengan mengambil objek Kapal Patroli Cepat (KPC). Permasalahan dalam penelitian ini adalah akan ditentukan supplier terbaik berdasarkan banyak kriteria. Metode Fuzzy digunakan untuk melakukan penilaian terhadap kriteria yang dimiliki supplier, sedangkan untuk penilaian efisiensi digunakan metode Data Envelopment Analysis (DEA). Fuzzy â Data Envelopment Analysis merupakan pengembangan dari metode DEA standar. Dari hasil pengolahan dan analisa data disimpulkan bahwa supplier yang efisien menurut kriteria untuk Copper pipe adalah Myeong S. untuk elektroda adalah PT. Thermadine, supplier untuk kayu adalah PT. Gotong Royong, dan supplier untuk kabel adalah JS. Cable."
Pemetaan Kesesuaian Lahan Untuk Budidaya Tanaman Pangan Menggunakan Naive Bayes Berbasis GIS,Penulis : Eka Zuhdi Putra Natari,"Dosen Pembimbing I : Mula'ab, S.Si.,M.Kom","Dosen Pembimbing II :Fika Hastarita Rachman, S.T.,M.Eng","Ketahanan Pangan Nasional diartikan sebagai kemampuan Negara untuk memenuhi kecukupan pangan seluruh penduduknya. Oleh karena itu upaya peningkatan ketahanan pangan merupakan salah satu program pokok dengan prioritas pencapaian produksi untuk memenuhi kebutuhan nasional. Kesesuaian lahan untuk tanaman pertanian pada dasarnya merupakan pencerminan kesesuaian kondisi fisik lahan terhadap penggunaan yang bersangkutan. Diketahui data kesesuaian lahan dan data produksi serta produktivitas pertanian daerah dapat menemukenali keselarasan antara kondisi lahan dengan kemampuan berproduksinya. Dalam hal ini maka, dibuatkanlah Sistem Pendukung Keputusan (SPK) untuk mendapatkan tanaman yang sesuai dengan keadaan lahan setiap daerah. SPK ini menggunakan NaÃ¯ve Bayes. Hasil dari tiap - tiap lahan tersebut akan melalui proses NaÃ¯ve Bayes yang sebelumnya melalui proses pembelajaran terlebih dahulu sebelum program dapat digunakan untuk melakukan klasifikasi. Melalui pengujian dan perbandingan data hasil menghasilkan prosentase keakuratan 97,07%, yaitu dari 205 data yang diprediksi, terdapat 199 kesamaan nama tanaman oleh sistem. Kemudian dari proses dapat diidentifikasi lokasi lahan yang kemudian dapat direpresentasikan menjadi Geografic Information System yang mengambil peta dari google maps."
Pengenalan Komponen Motor Otomotif Berbasis Role Playing Game (RPG) Dengan Algoritma Simple Rules,Penulis : Moch. Akhlul Ilmil Hoir,"Dosen Pembimbing I : Arik Kurniawati S.Kom., M.T","Dosen Pembimbing II :Ari Kusumaningsih, S.T., M.T","Dalam tugas akhir ini, penulis menerapkan konsep game edukasi berbasis RPG atau Role Playing Game dengan tema Pengenalan Komponen Motor Otomotif Berbasis RPG Dengan Algoritma Simple Rules. Game ini dirancang khusus dengan tujuan utama penyampaian materi edukasi yang disajikan dalam bentuk skenario game petualangan.
Game ini ditujukan untuk siswa Sekolah Menengah Kejuruan Teknik Otomotif Kelas X, dengan harapan game ini bisa menjadi alternatif media pembelajaran bagi siswa sehingga siswa dapat tertarik dan lebih mudah untuk memahami. Penulis menggunakan software untuk mendesain game yang bernama Game Maker, dengan engine ini game dapat dimainkan pada perangkat Komputer.
Hasil kuesioner yang diambil dari persentase responden terbanyak, ternyata mendapat respon yang cukup baik, dengan persentase tingkat kesulitan bermain sebanyak 50% mengatakan mudah, tingkat keberhasilan menjadi media pembelajaran sebanyak 45% mengatakan berhasil, tingkat kesukaan bermain pada game sebanyak 45% mengatakan suka, keberhasilan penyampaian materi ajar pada game sebanyak 65% mengatakan berhasil, tingkat efektifitas fitur game dalam membantu memainkan game sebanyak 40% mengatakan membantu, pengaruh game dalam memotivasi belajar komponen motor otomotif sebanyak 40% mengatakan termotivasi, jadi dapat dikatakan game ini sudah berhasil."
Analisis Dampak Penerapan Metode Diskretisasi Data terhadap Performa Diagnosis Penyakit Liver Berbasis K-Nearest Neighbor,Penulis : Candra Utomo Alatas,"Dosen Pembimbing I : Mula'ab, S.Si., M.Kom.","Dosen Pembimbing II :Iwan Santosa, S.T., M.T.","Akurasi adalah faktor terpenting yang harus dipertimbangkan dalam memilih metode klasifikasi data. Semakin tinggi akurasi suatu metode klasifikasi data, semakin layak metode tersebut diterapkan. Pada kasus diagnosis penyakit liver, metode k-Nearest Neighbor (KNN) menunjukkan akurasi yang tinggi. Di sisi lain, beberapa penelitian menunjukkan bahwa penerapan diskretisasi berbasis entropy sebagai metode preprocessing mampu meningkatkan akurasi klasifikasi data. Karenanya, dibangun sebuah hipotesis bahwa penerapan diskretisasi berbasis entropy juga mampu meningkatkan akurasi klasifikasi data pada kasus diagnosis penyakit liver. Dalam penelitian ini, diskretisasi berbasis entropy diterapkan sebagai metode preprocessing, sedangkan KNN digunakan sebagai metode klasifikasi. Klasifikasi dilakukan terhadap data set awal dan data set yang telah melalui proses diskretisasi berbasis entropy. Kemudian, akurasi yang dihasilkan oleh klasifikasi terhadap data set awal dibandingkan dengan akurasi yang dihasilkan oleh klasifikasi terhadap data set terdiskretisasi. Dari seluruh skenario uji coba yang telah dilakukan, terlihat bahwa akurasi klasifikasi pada data set terdiskretisasi lebih tinggi daripada akurasi klasifikasi pada data set awal. Hal ini terjadi pada seluruh nilai k yang diuji. Oleh karena itu, disimpulkan bahwa penerapan diskretisasi berbasis entropy dapat meningkatkan akurasi diagnosis penyakit liver berbasis KNN. Peningkatan akurasi yang diperoleh berkisar antara 1,03% hingga 4,8%."
DESAIN SISTEM E-VOTING PEMILIHAN REKTOR MENGGUNAKAN BLIND SIGNATURE,Penulis : Hanifudin Sukri,"Dosen Pembimbing I : Moh. Kautsar Sophan, S.Kom., M.M.","Dosen Pembimbing II :Bain Khusnul Khotimah, S.T, M.Kom","Pemilihan Rektor merupakan agenda rutin yang dilaksanakan lima tahun sekali oleh Universitas Trunojoyo untuk menentukan Rektor periode berikutnya, pemilihan rektor saat ini masih dilakukan dengan cara manual, kendala yang dihadapi adalah terjadinya kecurangan dan tidak efisien. Pada penelitian ini dirancang protokol dan simulasi sistem e-voting pada pemilihan rektor. Fungsi-fungsi pada sistem ini disesuaikan dengan skema e-voting yang harus memenuhi beberapa kriteria, yaitu Eligibility, Unreusability, Anonymity, Accuracy, Fairness, Vote and Go, dan Public Verifiability. Protokol ini akan digunakan  untuk sistem pendaftaran pemilih, validasi pemilih, sistem pemilihan, dan sistem perhitungan suara. Untuk menjaga kerahasiaan pilihan pemilih, sistem e-voting ini menggunakan algoritma blind signature. Hasil dari penelitian ini adalah sebuah sistem e-voting berbasis web yang menggunakan otentikasi finger print untuk mencegah terjadinya pemilihan kolektif. Hasil penelitian ini berdasarkan kusioner kepuasan pengguna yang disebar kepada responden dapat disimpulkan baik dan menunjukkan bahwa e-voting dapat mempercepat proses perhitungan suara dan meminimalisir kesalahan perhitungan yang dapat terjadi jika dilakukan secara manual oleh manusia. 

Kata kunci: E-voting, fingerprint, web, pemilihan umum, blind signature."
SIMULASI LAMPU LALU LINTAS PADA SEBUAH PERSIMPANGAN JALAN DENGAN MEMANFAATKAN CITRA CCTV MENGGUNAKAN GABOR FILTER DAN FUZZY LOGIC,Penulis : Ahmad Afwan Arin,"Dosen Pembimbing I : Dr. Indah Agustien S, S.Kom, M.Kom.","Dosen Pembimbing II :Bain Khusnul Khotimah, ST.,M.Kom.","Kemacetan lalu lintas merupakan masalah yang hampir terjadi diseluruh negara. Muncul masalah baru dalam penentuan lama nyala lampu lalu lintas. CCTV merupakan peralatan monitoring yang cukup popular akhir-akhir ini. Akan tetapi, kegunaan CCTV sebatas monitoring secara manual. Tidak ada proses otomatisasi pengaturan lalu lintas berdasarkan gambar yang dihasilkan CCTV. Dibutuhkan sistem yang memanfaatkan gambar yang diambil menggunakan CCTV pada persimpangan jalan untuk mengatur lalu lintas. Dalam proses pengenalan obyek pada citra CCTV terdapat 2 tahap utama dalam simulasi lalu lintas, yaitu identifikasi keadaan jalan dengan metode gabor filter untuk mengetahui kepadatan jalan dilanjutkan dengan penentuan cycle time menggunakan Metode Mamdani dengan variabel fuzzy keadaan jalan, waktu, dan hari. Pada uji coba skenario 1 dengan variabel waktu pukul 06.00, variabel hari senin, dan variabel keadaan jalan 400. Dengan dengan cycle time pendek [0-15] menghasilkan nyala lampu 10 detik. Artinya tingkat keramaian pada mencapai 66,7%. Pada uji coba skenario 2 menggunakan variabel waktu pukul 09.41.45, variabel hari selasa, dan variabel keadaan jalan 488. Dengan cycle time pendek [0-15] menghasilkan nyala lampu 11 detik. Artinya tingkat keramaian mencapai 73,3%."
